gid,startdistrictid,enddistrictid
15376,33,33
14749,5,5
15861,13,12
24137,27,24
94771,4,1
95194,22,
281129,,
25520,27,4
29116,27,4
29499,4,16
16370,,
258974,,
47752,25,
108519,22,22
32813,4,22
110785,16,4
32829,14,31
275180,,
37503,5,5
132947,,
135421,4,4
58834,11,
61692,7,7
61682,,
67837,12,12
21999,5,7
141833,,
156175,27,16
72264,4,
157310,5,33
163048,,
130359,4,33
199510,27,27
164520,27,27
164624,27,16
183128,22,22
73026,,
147281,5,4
119704,,
184862,4,5
162713,23,
244476,,
209138,7,27
210113,22,22
153820,8,8
226358,4,
113859,23,22
187383,27,27
187602,5,5
188682,5,5
188836,22,24
227804,24,24
190024,5,4
239647,24,24
239379,,
261742,4,4
262278,,
262954,5,5
267938,23,23
217548,18,18
254667,,
269698,9,
220711,30,30
289852,24,24
82030,3,3
271646,27,
274082,33,33
274696,,
275365,30,30
279646,22,22
282725,,16
235268,7,7
291085,4,4
290906,22,30
247006,,
292219,27,24
47031,,
292183,20,
1501,24,4
2803,4,5
262808,,
21779,4,33
252763,24,27
8095,22,22
196407,,
21711,8,8
19097,25,16
198187,22,
20352,,
268422,18,27
268390,7,4
166641,,
25427,,
34950,4,4
8873,,
29200,23,17
280109,27,24
165010,27,27
170478,,
170639,,
115605,,
287677,25,25
224587,,
292715,25,
123050,,
239519,,
174714,,
180906,24,24
190633,27,24
64181,,
193492,,
194821,30,18
196647,,
16649,,
194655,,
195728,27,18
195725,25,25
196082,,
199431,10,
254648,8,7
212981,,
201824,5,5
17766,5,5
18334,,
26806,27,16
119188,4,16
123858,5,24
29910,16,16
126161,24,5
32895,24,5
32904,7,
139021,4,7
37295,5,5
166353,,
170271,,
264643,,
90859,,
181136,,
49588,27,24
175474,4,5
187846,5,5
188538,,
192399,4,28
251604,23,7
199262,5,5
190685,22,24
215344,30,30
220506,9,9
224585,2,2
226037,11,11
68058,5,4
68934,22,8
228364,16,16
242292,22,24
270674,,
230022,27,3
85730,,
201334,,
286063,27,27
11204,25,
141084,,
213899,,
244542,,
215137,,
255442,1,4
10337,4,4
260798,24,4
263352,8,8
87051,27,5
85249,24,24
151014,9,9
266938,8,8
281463,22,22
77385,,
72560,10,10
42708,,27
96312,4,24
97846,24,5
77124,7,33
163544,,
100548,,4
82205,30,
85242,4,4
85928,,
107937,7,
92341,24,22
108686,,
108876,27,24
108821,5,5
93097,11,30
198463,2,7
94684,23,23
103010,5,5
114957,,
12061,4,4
162630,5,16
156108,1,1
205319,,
130841,4,5
130871,7,4
126096,27,24
132072,27,27
127356,4,4
129887,23,1
227394,,
187206,11,11
94014,33,4
94301,33,
94341,4,7
170283,22,24
169534,7,5
179280,24,1
182733,22,4
182751,4,4
185786,4,4
187771,,
188834,4,
199976,,
204837,10,9
105828,4,5
261681,31,31
273274,25,25
23376,,
194140,16,4
112835,4,4
273765,4,5
274915,27,24
97319,18,18
178327,16,16
176675,16,16
165196,27,27
250072,33,4
252036,23,33
252553,4,5
23387,,
23777,18,30
36568,,
26603,7,7
183188,4,4
206584,,
273222,,
48058,,
287351,22,22
170651,,
38177,5,5
235640,,
288907,16,16
42264,24,23
44831,33,33
46296,,
252957,,
190828,30,22
258250,25,
46721,22,33
187955,25,16
158243,5,1
290067,4,
13229,30,30
53602,24,27
49649,,
238790,4,4
82127,24,24
13296,8,4
238493,1,5
131267,,
16180,20,26
77779,25,25
16407,,
158637,8,8
56935,23,
25007,,
66542,23,23
25792,25,25
25652,,
68424,25,25
72125,4,24
89982,,
70089,,
28553,4,4
11168,,
144149,28,28
44017,29,4
12334,,4
222101,,
44925,33,33
46910,24,5
121040,,
125881,24,24
126789,22,22
196912,4,4
134882,,
70959,4,4
212026,4,4
221841,5,22
151473,23,23
212784,4,4
231703,14,31
67647,,
244595,,
45595,23,
246735,,
234275,,
213192,10,10
216596,23,23
220822,24,27
240699,20,20
141628,,
280177,33,33
241276,24,22
188252,10,25
160280,27,23
42091,,
101917,8,
115456,33,4
160013,27,24
128979,22,22
158265,4,4
185044,8,
132427,2,
176105,,16
189087,28,28
274496,,
177266,23,23
177131,,
185411,,
84191,4,4
186787,5,5
186295,25,25
181562,,
180515,4,4
189039,18,
183607,23,23
183666,2,2
162042,23,23
188194,4,
221763,22,22
211382,,
261749,24,24
263724,9,9
263509,,
216368,24,24
264527,5,5
271258,,
264756,5,5
264576,5,5
216668,,
216954,27,3
169652,25,25
283062,16,27
271194,25,25
271602,25,25
286228,,
2688,25,16
3800,7,7
6065,7,4
254317,,
10725,20,
10941,7,7
10723,18,18
11592,30,30
183611,24,5
12022,4,24
19830,3,23
208722,,
21357,27,16
286969,3,
200841,,
272819,,16
34279,5,5
286154,,
35289,5,24
166026,16,16
289117,7,4
88005,,
249754,24,
166371,,
230304,,
293143,13,20
254209,,
166702,23,7
272269,,
58051,23,23
175074,,
18936,,
59863,22,22
64628,22,22
170302,11,27
77334,8,8
566,17,
31642,4,4
258707,7,7
32502,5,5
130652,,
81071,,
48475,,
38725,,
41338,5,5
41682,,
92547,,
105687,5,5
136804,,3
157896,5,5
59859,5,4
63657,4,4
59915,5,27
60208,,23
60400,25,9
207734,,
87025,,
126792,23,
74565,5,
209572,27,27
209386,33,33
71116,22,22
167388,,
71555,,
214736,,
224836,9,9
224030,4,22
233954,,
270432,,
77018,24,24
77067,22,4
77187,10,20
228348,16,4
282963,24,5
243754,5,7
242614,30,30
202342,24,22
101522,,
233075,24,
80533,,
151050,31,31
247549,22,30
139534,4,4
202306,24,24
237921,24,4
237923,,
238076,,
283981,25,
187404,24,24
65448,,
194380,4,24
5317,7,7
38610,,
104573,5,24
40053,5,23
79882,27,4
271880,,
103804,23,23
103799,26,26
39241,2,2
53931,,
109902,5,5
114520,25,25
106823,,
109643,7,4
109297,24,4
117672,24,24
123691,23,4
118787,22,22
141291,27,18
124998,4,5
126252,27,27
131162,24,24
132050,16,16
132109,,
135402,,
159669,,
167910,7,7
160569,4,23
168073,30,30
116474,,
168613,5,5
100837,10,10
163080,,
168843,24,27
165760,,
199098,5,5
208648,,
262063,8,8
223283,4,
40860,,
224476,,
200931,30,22
224238,1,1
266313,23,16
269424,3,1
266606,4,24
218768,16,25
124805,2,2
263175,,
270489,24,5
189616,,
271457,27,24
288864,25,23
122985,,
289449,,
107938,18,27
244598,,
116184,,
248640,16,
246168,,
5882,4,4
263088,,
74625,,
259809,24,5
234784,,24
259538,22,24
51725,,
15474,4,5
17226,24,5
241619,,
263405,18,18
265714,24,24
177357,27,27
267054,25,25
16131,8,
269694,2,7
17913,27,24
142317,,
21473,24,24
156231,31,31
18606,11,11
275066,22,22
22064,24,24
182451,,
23929,22,24
285607,9,9
24012,5,4
279305,16,16
25523,,
279683,24,24
28580,28,28
282539,4,24
30657,33,4
286595,,
292387,16,25
32059,7,23
49237,4,33
36335,16,16
36033,7,4
282744,29,
42510,22,22
50587,25,25
343,24,
271970,,
53235,5,5
58201,24,24
134171,,
59223,23,7
230990,24,24
56618,,
60710,18,24
17266,3,1
239746,7,7
240090,5,5
179896,4,5
90986,,
241471,4,5
134452,,
241603,23,23
22105,24,24
280715,,
203287,27,16
193425,,
22274,23,23
93366,,
25217,4,24
245490,25,25
25997,33,33
245546,5,
246608,30,
278166,16,16
165172,,
247507,5,5
170317,29,29
246744,25,
29941,5,5
247824,7,33
49162,4,4
247892,23,23
251984,24,5
248266,7,4
139528,,
89616,27,27
205995,,
89736,23,23
79084,,
236613,,
41214,16,11
13014,,
44733,23,23
254235,,
44464,22,22
44621,,
47608,22,22
167625,4,4
219686,,
72303,,
50424,30,30
94117,5,5
72381,,
44546,27,24
199348,,
85576,,
53663,23,4
148906,,
51398,24,4
63104,7,4
73097,27,24
278084,,
71078,24,24
240630,8,8
104925,,
278891,,
52011,23,4
54775,4,
152462,5,4
96126,4,4
152468,,
104676,4,5
117240,7,7
117369,4,1
118006,16,16
178301,5,5
117984,33,33
119868,7,4
122247,18,18
123423,24,24
150797,,
123849,27,
141387,5,4
124395,5,4
141965,31,14
124647,4,4
254930,24,18
128733,4,5
129547,27,27
103860,,
151086,5,5
151043,31,31
151613,4,4
154902,4,4
126083,,
205683,4,4
217845,4,4
161424,,
218202,2,7
129056,,
223220,25,25
234749,7,7
226196,7,4
226911,5,5
226899,,
230339,5,24
230688,7,7
232086,23,
1242,,
185620,4,4
184590,24,24
183312,24,4
237758,31,31
183151,25,29
242484,33,5
242874,3,3
190340,,
193726,,
123748,29,8
195490,7,7
245177,4,24
245213,24,24
198983,,
246825,22,22
246745,,
247893,,
42508,23,23
247713,25,25
195379,4,
45937,,
240380,,
98111,22,22
162834,,
100737,,
104223,5,5
251796,,
104950,30,30
225242,,
109148,22,22
286069,,
115556,,
231552,32,34
111009,7,7
192444,,
6028,27,27
213420,,
250516,,
234173,24,24
285841,,
121938,5,5
236622,23,23
115957,7,
117743,27,5
117859,16,16
118228,4,4
256647,,
239245,3,31
118855,,
239758,,
121412,5,24
240747,7,7
121784,,
241791,24,24
122820,5,4
125898,9,2
92687,,
125423,4,4
126856,23,23
127275,22,22
127620,5,24
248375,4,22
248791,7,7
131924,,
217976,,
132410,24,24
251154,27,4
133600,4,5
134441,24,18
134472,27,27
252891,10,10
135394,24,24
255082,22,24
135829,22,24
256643,4,4
137387,22,4
144504,,
260043,4,
203019,,
140118,33,33
141123,4,4
262758,16,25
155301,,
126620,,
140862,,
152151,5,24
144161,4,27
152275,9,9
274957,23,3
268821,,
247829,,
163450,,
268593,22,22
66327,,
11967,,
45313,,
262917,,
271835,9,10
20297,,
150054,4,5
272540,4,
272510,4,4
81580,,
118584,27,24
281902,,18
288390,,
282846,5,4
157153,4,24
266056,,
168366,5,4
25020,,
284492,4,4
161199,27,24
288890,18,30
288865,,
165698,11,11
165661,16,
178668,33,33
179995,4,4
179772,16,16
179520,,
121991,,
20320,3,24
200908,24,24
201837,,
201883,4,4
28733,18,18
94116,,
32228,4,23
39310,4,7
214888,4,5
251095,23,4
252265,5,23
252444,25,16
48136,4,4
252713,16,16
253658,7,7
190784,,
126710,,
226584,24,22
48375,5,23
259443,30,30
259883,,25
225056,,
265234,25,25
280179,18,18
265533,,
265753,7,33
54537,33,33
54184,,
94045,,
54725,8,8
55188,4,4
51425,,
63848,7,7
64215,4,16
64355,24,22
277221,5,5
65020,11,11
161970,,
278041,8,8
169582,4,4
278433,16,16
132702,4,4
133169,5,5
136486,20,20
158173,27,24
278674,18,27
280170,8,8
280529,18,22
20956,,
80405,,
147562,7,7
284287,28,4
74048,17,17
72925,27,5
199600,25,25
286224,4,4
189708,29,29
287000,7,4
287174,4,4
231315,,
91815,,
187429,,
272339,,
292079,7,7
190587,,
292301,22,24
292547,16,11
9973,4,4
10043,4,4
10763,4,4
183102,,
104883,25,16
18302,9,
115465,,22
103739,24,24
18741,31,
19162,27,7
20999,23,4
252356,,
21232,4,4
155407,,
107256,5,5
108293,23,
20545,18,
93004,,
148187,,
285694,,
24200,5,5
132662,,
165907,27,4
266191,,
27550,25,16
12985,,
36010,23,23
42044,16,27
191964,,
38801,,10
38939,,4
40325,7,7
41415,7,2
48183,18,5
166628,4,4
167939,14,
94107,,
173483,27,24
152261,27,11
174034,23,23
61774,,23
62033,33,33
62205,7,7
62455,20,14
164194,18,18
171422,,
65974,24,24
66183,7,33
231243,16,16
156261,,
66872,25,25
175697,4,4
175180,4,22
67545,16,16
90181,,
74107,5,24
179741,27,24
232947,7,4
210788,25,
77258,27,24
77333,,
141575,,
191571,24,24
191498,30,
193365,25,27
99345,7,7
219949,23,23
195432,26,26
271914,,
213658,2,2
104259,,4
228568,26,26
238265,,
21546,,
172374,,
219854,7,7
224064,24,24
221203,22,22
263533,,
134021,,
235333,,
165492,,
165401,,
225527,,
182709,,
226934,22,24
231391,23,23
192498,,
111369,,
227513,,24
231467,23,
36162,,
232460,4,4
233763,,
280930,,
167149,,
235564,16,11
207212,,
225012,5,5
178557,,
76799,,
239165,24,22
239312,31,31
117629,,
290475,,
193668,30,24
243276,1,4
242672,7,2
243682,4,4
285024,24,24
244341,23,
244895,33,33
245114,25,27
199704,,
19308,,
135020,,
196008,,
175003,,
250792,24,24
45794,,
86167,4,33
93988,23,4
231057,,
94314,4,5
253525,,
267926,4,4
273671,16,
101976,22,22
108532,4,4
44873,,
280756,33,
280831,23,25
108656,25,
166889,,
130883,27,27
31167,,5
205885,,
142404,25,25
10027,16,16
219019,,
133842,8,8
37632,5,5
115590,,
136823,5,
202228,,
139496,8,8
69864,8,22
70924,,
72101,,
229880,4,23
181958,9,
100006,,
199340,4,4
86329,5,24
177898,,
221265,,
221714,7,2
83764,,
224000,23,23
224987,1,4
188374,,
251316,,
252711,24,24
256174,,
261507,16,16
265631,11,11
266491,,
273371,16,
227403,23,23
76666,5,4
182080,5,5
3309,5,5
42997,11,11
259750,4,5
123368,30,30
262283,,
123412,4,7
45623,,
259504,,
111296,22,22
44625,8,22
182895,16,
211536,,27
84239,,
166820,5,24
165504,25,25
75338,7,7
216960,,
130432,16,25
201422,23,23
142575,,
165387,,
258125,,
233084,27,24
104186,,
193890,,
204988,7,7
233849,11,3
271320,,
154538,4,4
140706,27,24
7987,,
130580,,
121631,,
227742,,
87383,23,17
287673,,
88097,30,30
230831,24,27
88552,5,5
231700,5,5
245843,,
234006,,
234664,4,5
235197,30,30
96806,1,5
107181,18,22
122340,,
122384,,
115022,,
139742,,
143083,24,22
31259,,25
279117,7,7
185672,16,16
233063,4,4
183965,24,22
184746,5,5
196270,4,4
202090,,
202360,4,23
202586,23,24
184977,23,
207535,23,23
23604,,
42651,,
51386,8,8
249933,5,27
262528,24,24
262563,,
268125,25,25
75531,24,24
270685,24,18
275690,4,4
7422,25,33
102578,27,27
2712,22,22
2999,17,17
43463,,
4307,6,23
7697,22,22
6549,16,4
99661,22,22
99967,4,3
13329,5,5
130582,4,
19403,22,30
218162,25,25
28180,16,25
243622,7,7
144582,33,2
139898,27,24
75885,7,7
110525,,
247148,22,
47411,4,24
114629,,
48980,16,16
172890,33,33
93050,9,9
248160,27,27
90445,,
91734,16,5
99253,23,27
97542,22,24
107579,8,22
9782,7,33
109970,5,5
113491,16,16
118343,23,23
123968,9,9
143419,,
119983,7,7
130342,24,4
131250,,
133477,25,25
137129,11,16
276627,,
97008,,
141822,14,14
150040,4,24
151339,24,27
278797,,19
72527,,
174223,,
16312,23,23
16452,33,33
262408,,11
226243,23,4
21237,27,24
236838,4,7
161768,24,24
99947,,
27933,5,5
87234,33,7
28295,10,9
30274,22,22
34266,4,4
187636,16,16
38086,22,22
44295,,
37365,22,24
37549,23,23
